,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,constrained_start,constrained_stop,level_0,phase
0,2,2100,1.0,4.0,target,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,2100,1.0,4.0,target,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,1,1020,1.0,4.0,target,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1,1020,1.0,4.0,target,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,2,2100,1.0,5.0,lure,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,2,2100,1.0,5.0,lure,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1,1020,1.0,5.0,lure,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,1020,1.0,5.0,lure,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,2,2100,1.0,1.0,scene_1,1,672.0,7.0,679.0,644.1,473.2,0.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7.0,679.0,0.0,test
9,2,2100,1.0,2.0,possible_answers,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,2,2100,1.0,3.0,scene_2,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1,1020,1.0,1.0,scene_1,1,672.0,7.0,679.0,644.1,473.2,0.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7.0,679.0,36.0,test
12,1,1020,1.0,2.0,possible_answers,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1,1020,1.0,3.0,scene_2,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2,2100,1.0,4.0,target,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2,2100,1.0,4.0,target,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,1,1020,1.0,4.0,target,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,1,1020,1.0,4.0,target,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,2,2100,1.0,5.0,lure,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,2,2100,1.0,5.0,lure,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1,1020,1.0,5.0,lure,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1,1020,1.0,5.0,lure,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,2,2100,1.0,1.0,scene_1,2,431.0,701.0,1132.0,680.8,425.0,0.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,701.0,1132.0,0.0,test
