,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,level_0,phase
0,2,2100,1.0,1.0,scene_1,1,672.0,7,679.0,644.1,473.2,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
1,1,1020,1.0,1.0,scene_1,1,672.0,7,679.0,644.1,473.2,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
2,2,2100,1.0,1.0,scene_1,2,431.0,701,1132.0,680.8,425.0,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
3,1,1020,1.0,1.0,scene_1,2,431.0,701,1132.0,680.8,425.0,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
4,2,2100,1.0,1.0,scene_1,3,226.0,1181,1407.0,437.5,311.8,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
5,1,1020,1.0,1.0,scene_1,3,226.0,1181,1407.0,437.5,311.8,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
6,2,2100,1.0,1.0,scene_1,4,218.0,1447,1665.0,633.2,509.3,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
7,1,1020,1.0,1.0,scene_1,4,218.0,1447,1665.0,633.2,509.3,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
8,2,2100,1.0,1.0,scene_1,5,252.0,1690,1942.0,611.2,407.5,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
9,1,1020,1.0,1.0,scene_1,5,252.0,1690,1942.0,611.2,407.5,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
10,2,2100,1.0,1.0,scene_1,6,254.0,1993,2247.0,365.8,310.8,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
11,1,1020,1.0,1.0,scene_1,6,254.0,1993,2247.0,365.8,310.8,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
12,2,2100,1.0,1.0,scene_1,7,113.0,2309,2422.0,643.3,546.5,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
13,1,1020,1.0,1.0,scene_1,7,113.0,2309,2422.0,643.3,546.5,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
14,2,2100,1.0,1.0,scene_1,8,477.0,2444,2921.0,625.0,511.7,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,0,test
15,1,1020,1.0,1.0,scene_1,8,477.0,2444,2921.0,625.0,511.7,0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,36,test
