,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
0,0,1020,1,30842,1.0,EFIX,L,1033415,1034087.0,673.0,644.1,473.2,4237,None,None,None,1033408,7,679.0,672.0,1,0,nan
1,1,1020,1,30896,1.0,SSACC,L,1034088,nan,nan,None,None,None,None,None,None,1033408,680,nan,nan,1,1,nan
2,2,1020,1,31691,1.0,ESACC,L,1034088,1034108.0,21.0,641.6,475.0,682.5,434.7,1.55,110,1033408,680,700.0,20.0,1,2,nan
3,3,1020,1,47770,1.0,EFIX,L,1034109,1034540.0,432.0,680.8,425.0,4190,None,None,None,1033408,701,1132.0,431.0,2,3,nan
4,4,1020,1,47824,1.0,SSACC,L,1034541,nan,nan,None,None,None,None,None,None,1033408,1133,nan,nan,2,4,nan
5,5,1020,1,49618,1.0,ESACC,L,1034541,1034588.0,48.0,678.8,420.4,438.2,306.3,7.32,250,1033408,1133,1180.0,47.0,2,5,nan
6,6,1020,1,58112,1.0,EFIX,L,1034589,1034815.0,227.0,437.5,311.8,4453,None,None,None,1033408,1181,1407.0,226.0,3,6,nan
7,7,1020,1,58166,1.0,SSACC,L,1034816,nan,nan,None,None,None,None,None,None,1033408,1408,nan,nan,3,7,nan
8,8,1020,1,59627,1.0,ESACC,L,1034816,1034854.0,39.0,436.0,314.5,645.7,509.1,7.73,411,1033408,1408,1446.0,38.0,3,8,nan
9,9,1020,1,67825,1.0,EFIX,L,1034855,1035073.0,219.0,633.2,509.3,4765,None,None,None,1033408,1447,1665.0,218.0,4,9,nan
10,10,1020,1,67879,1.0,SSACC,L,1035074,nan,nan,None,None,None,None,None,None,1033408,1666,nan,nan,4,10,nan
11,11,1020,1,68785,1.0,ESACC,L,1035074,1035097.0,24.0,630.0,509.8,618.2,419.2,2.40,147,1033408,1666,1689.0,23.0,4,11,nan
12,12,1020,1,78241,1.0,EFIX,L,1035098,1035350.0,253.0,611.2,407.5,4819,None,None,None,1033408,1690,1942.0,252.0,5,12,nan
13,13,1020,1,78295,1.0,SSACC,L,1035351,nan,nan,None,None,None,None,None,None,1033408,1943,nan,nan,5,13,nan
14,14,1020,1,80163,1.0,ESACC,L,1035351,1035400.0,50.0,606.7,407.1,365.7,302.7,7.20,221,1033408,1943,1992.0,49.0,5,14,nan
15,15,1020,1,89693,1.0,EFIX,L,1035401,1035655.0,255.0,365.8,310.8,4773,None,None,None,1033408,1993,2247.0,254.0,6,15,nan
16,16,1020,1,89747,1.0,SSACC,L,1035656,nan,nan,None,None,None,None,None,None,1033408,2248,nan,nan,6,16,nan
17,17,1020,1,92022,1.0,ESACC,L,1035656,1035716.0,61.0,364.2,312.4,650.9,537.4,9.83,529,1033408,2248,2308.0,60.0,6,17,nan
18,18,1020,1,96335,1.0,EFIX,L,1035717,1035830.0,114.0,643.3,546.5,4753,None,None,None,1033408,2309,2422.0,113.0,7,18,nan
19,19,1020,1,96389,1.0,SSACC,L,1035831,nan,nan,None,None,None,None,None,None,1033408,2423,nan,nan,7,19,nan
20,20,1020,1,97184,1.0,ESACC,L,1035831,1035851.0,21.0,645.1,544.2,609.2,496.5,1.58,122,1033408,2423,2443.0,20.0,7,20,nan
21,21,1020,1,114965,1.0,EFIX,L,1035852,1036329.0,478.0,625.0,511.7,4405,None,None,None,1033408,2444,2921.0,477.0,8,21,nan
22,22,1020,1,115019,1.0,SSACC,L,1036330,nan,nan,None,None,None,None,None,None,1033408,2922,nan,nan,8,22,nan
23,23,1020,1,115925,1.0,ESACC,L,1036330,1036353.0,24.0,630.2,516.3,687.0,469.1,1.99,119,1033408,2922,2945.0,23.0,8,23,nan
24,24,1020,1,123568,1.0,EFIX,L,1036354,1036557.0,204.0,685.2,467.4,4238,None,None,None,1033408,2946,3149.0,203.0,9,24,nan
25,25,1020,1,123622,1.0,SSACC,L,1036558,nan,nan,None,None,None,None,None,None,1033408,3150,nan,nan,9,25,nan
26,26,1020,1,124898,1.0,ESACC,L,1036558,1036591.0,34.0,684.3,466.3,858.1,440.8,4.81,247,1033408,3150,3183.0,33.0,9,26,nan
27,27,1020,1,132430,1.0,EFIX,L,1036592,1036792.0,201.0,853.3,434.7,4468,None,None,None,1033408,3184,3384.0,200.0,10,27,nan
28,28,1020,1,132484,1.0,SSACC,L,1036793,nan,nan,None,None,None,None,None,None,1033408,3385,nan,nan,10,28,nan
29,29,1020,1,134611,1.0,ESACC,L,1036793,1036849.0,57.0,849.9,430.6,804.2,924.0,12.24,356,1033408,3385,3441.0,56.0,10,29,nan
30,30,1020,1,140478,1.0,EFIX,L,1036850,1037005.0,156.0,800.9,911.4,4884,None,None,None,1033408,3442,3597.0,155.0,11,30,nan
31,31,1020,1,140532,1.0,SSACC,L,1037006,nan,nan,None,None,None,None,None,None,1033408,3598,nan,nan,11,31,nan
32,32,1020,1,142437,1.0,ESACC,L,1037006,1037056.0,51.0,798.4,904.6,624.8,495.0,11.14,366,1033408,3598,3648.0,50.0,11,32,nan
33,33,1020,1,151116,1.0,EFIX,L,1037057,1037288.0,232.0,628.5,505.8,5078,None,None,None,1033408,3649,3880.0,231.0,12,33,nan
34,34,1020,1,151170,1.0,SSACC,L,1037289,nan,nan,None,None,None,None,None,None,1033408,3881,nan,nan,12,34,nan
